sensorId,createdAt,value,lat,lon
5f15a1e8e8f87e001c7e0eaf,2023-02-28T14:38:54.300Z,5.34,47.447888,19.181061
6373ce7d1de963001bf57c88,2023-02-28T14:38:49.866Z,10.02,47.602859,19.002431
615a29387ea3fe001c5c6730,2023-02-28T14:38:48.587Z,6.16,47.50262,18.94011
61a12255d85cc7001bf7fdab,2023-02-28T14:38:44.075Z,6.74,47.530403,19.281569
63f358354fbabe00074ecba3,2023-02-28T14:38:41.326Z,5.85,47.47018,19.078783
609ee46125b716001c53b1fc,2023-02-28T14:38:37.453Z,16.09,47.506199,19.133976
5e56763a37f639001bd14bb4,2023-02-28T14:38:36.152Z,9.71,47.45692,19.016782
5f4a2ed8327264001be939e6,2023-02-28T14:38:30.193Z,8.60,47.418744,19.015003
6080401160979a001b0310fe,2023-02-28T14:38:24.892Z,8.24,47.456662,19.159684
63f358354fbabe00074ecba3,2023-02-28T14:38:24.079Z,5.84,47.47018,19.078783
615a2bcd7ea3fe001c5d77ab,2023-02-28T14:38:20.250Z,4.99,47.5026,18.9403
60d596f18855dd001cc63c64,2023-02-28T14:38:14.595Z,6.25,47.543574,19.074448
602d0601a79cbd001bdc5613,2023-02-28T14:38:08.348Z,9.15,47.506496,19.075401
63f358354fbabe00074ecba3,2023-02-28T14:38:06.885Z,5.83,47.47018,19.078783
5e41889919585f001bae8018,2023-02-28T14:37:51.560Z,12.51,47.536316,19.06253
63f358354fbabe00074ecba3,2023-02-28T14:37:51.169Z,5.88,47.47018,19.078783
606d6cfc4393eb001c86ed57,2023-02-28T14:37:50.785Z,7.21,47.537799,19.06623
6040f4368ad04a001bdbe3c8,2023-02-28T14:37:42.989Z,7.28,47.480862,19.023965
6040c7618ad04a001bc570a9,2023-02-28T14:37:40.873Z,7.06,47.4584,19.017398
609ccb6225b716001c46f313,2023-02-28T14:37:40.218Z,7.09,47.474762,19.034527
63f358354fbabe00074ecba3,2023-02-28T14:37:37.600Z,5.88,47.47018,19.078783
623894cdbe6329001cb4bfe5,2023-02-28T14:37:36.434Z,6.89,47.465842,19.117917
615a29387ea3fe001c5c6730,2023-02-28T14:37:34.588Z,5.93,47.50262,18.94011
61a12255d85cc7001bf7fdab,2023-02-28T14:37:32.791Z,6.80,47.530403,19.281569
611f76f5b09114001b548f8d,2023-02-28T14:37:28.081Z,9.26,47.504324,19.074182
60b641a6df2a7b001b5be9b5,2023-02-28T14:37:27.998Z,6.79,47.492259,19.071309
6353be94139d1f001b1b21fb,2023-02-28T14:37:25.708Z,7.21,47.513008,19.054063
6040ca7d8ad04a001bc6fd49,2023-02-28T14:37:25.034Z,6.90,47.463627,19.014867
63c8632ad37b36000733227b,2023-02-28T14:37:24.659Z,14.41,47.516104,19.056701
63f358354fbabe00074ecba3,2023-02-28T14:37:19.747Z,5.91,47.47018,19.078783
612f4f89157184001bdf11f5,2023-02-28T14:37:17.673Z,20.52,47.504432,19.075575
6238444bbe6329001c8e4f58,2023-02-28T14:37:09.525Z,7.62,47.486088,19.064243
609bb97325b716001cbee2d3,2023-02-28T14:37:06.238Z,7.47,47.53168,19.084475
5fee0624576ab7001ccf57c5,2023-02-28T14:37:06.181Z,7.03,47.522679,19.106484
6348fcc09b62e5001b25ac3c,2023-02-28T14:37:05.727Z,6.13,47.473804,19.013598
6012ae1a571de9001bf0de7a,2023-02-28T14:37:05.122Z,6.34,47.477996,19.035062
6217b0854f7ef7001bb35b33,2023-02-28T14:37:04.623Z,6.21,47.475369,19.015587
615a2bcd7ea3fe001c5d77ab,2023-02-28T14:37:02.748Z,5.00,47.5026,18.9403
633c4150ca8ac8001b7abbfc,2023-02-28T14:37:02.463Z,9.36,47.540238,19.072244
63f358354fbabe00074ecba3,2023-02-28T14:36:47.110Z,5.91,47.47018,19.078783
63550a8b817d12001b4f5d00,2023-02-28T14:36:41.916Z,9.02,47.542127,19.0895
61c1093fe2a8da001b202854,2023-02-28T14:36:41.264Z,7.30,47.441326,19.16742
6040d2f38ad04a001bcb356f,2023-02-28T14:36:40.411Z,6.52,47.473679,19.056018
602e75504dd752001b6b7de5,2023-02-28T14:36:38.977Z,8.54,47.459289,19.03473
6391c79670c7ae001b0e1988,2023-02-28T14:36:38.476Z,5.97,47.479865,19.078794
618ebe57e30ca5001b8f335d,2023-02-28T14:36:38.268Z,5.56,47.406479,19.187427
609b9ff825b716001cb24a76,2023-02-28T14:36:37.800Z,10.26,47.527134,19.0726
61f40eeddb392f001b0f419c,2023-02-28T14:36:35.620Z,7.64,47.523028,19.21117
63f358354fbabe00074ecba3,2023-02-28T14:36:33.496Z,5.90,47.47018,19.078783
632accb7b6658f001be047ad,2023-02-28T14:36:26.454Z,8.82,47.47023,19.166389
601ceca9e443a0001bcc937c,2023-02-28T14:36:25.744Z,8.10,47.361997,18.929267
615a29387ea3fe001c5c6730,2023-02-28T14:36:23.050Z,5.99,47.50262,18.94011
5f15a1e8e8f87e001c7e0eaf,2023-02-28T14:36:21.627Z,5.27,47.447888,19.181061
6346b8ea06f5f7001b77b659,2023-02-28T14:36:19.311Z,6.37,47.565538,19.086423
61fba00568c6fb001b8c5329,2023-02-28T14:36:17.153Z,8.58,47.504416,19.074067
6373ce7d1de963001bf57c88,2023-02-28T14:36:16.057Z,10.18,47.602859,19.002431
63f358354fbabe00074ecba3,2023-02-28T14:36:15.843Z,5.88,47.47018,19.078783
602e90a637bfd7001b9dd490,2023-02-28T14:36:15.538Z,8.00,47.461849,19.030208
61a12255d85cc7001bf7fdab,2023-02-28T14:36:14.604Z,6.92,47.530403,19.281569
60c4dad1e650df001cc4978c,2023-02-28T14:36:05.763Z,4.56,47.599754,19.241991
609ee46125b716001c53b1fc,2023-02-28T14:36:04.954Z,16.10,47.506199,19.133976
6355a4eddb73ef001b7c4217,2023-02-28T14:36:04.923Z,10.22,47.538966,19.087112
5e56763a37f639001bd14bb4,2023-02-28T14:36:02.947Z,9.86,47.45692,19.016782
609baf0325b716001cb9c8fe,2023-02-28T14:36:00.421Z,6.65,47.532085,19.07774
615a2bcd7ea3fe001c5d77ab,2023-02-28T14:35:55.996Z,5.03,47.5026,18.9403
6391e43f698b50001ce301f2,2023-02-28T14:35:53.913Z,13.36,47.50145,19.148263
